problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;492.0;110113228.0;0.0;0.002691984176635742;0.934689998626709;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;298.0;107319979.0;0.0;0.0027861595153808594;0.2546422481536865;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;468.0;102204476.0;0.0;0.002805948257446289;0.32893896102905273;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;494.0;108545914.0;0.0;0.002708911895751953;0.9699409008026123;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;335.0;103476048.0;0.0;0.002704143524169922;0.28055310249328613;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;396.0;111935894.0;0.0;0.0027000904083251953;0.3562753200531006;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;481.0;110214599.0;0.0;0.0026938915252685547;0.9903130531311035;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;307.0;109982966.0;0.0;0.002750873565673828;0.2761268615722656;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;492.0;104384474.0;0.0;0.002730846405029297;0.3623337745666504;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;429.0;107915788.0;0.0;0.0027060508728027344;0.977689266204834;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;342.0;107890891.0;0.0;0.0027267932891845703;0.2761998176574707;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;433.0;104447328.0;0.0;0.0026967525482177734;0.38762879371643066;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;443.0;112832825.0;0.0;0.0028429031372070312;0.9410090446472168;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;242.0;102185976.0;0.0;0.002753019332885742;0.2766761779785156;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;420.0;102358276.0;0.0;0.002711057662963867;0.42778611183166504;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;524.0;110542913.0;0.0;0.002705097198486328;1.0207443237304688;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;305.0;93753080.0;0.0;0.00273895263671875;0.26637959480285645;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;494.0;108736871.0;0.0;0.0027039051055908203;0.3904449939727783;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;17;524.0;105066357.0;0.0;0.002683877944946289;1.0509729385375977;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;287.0;104466582.0;0.0;0.0027008056640625;0.26482081413269043;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;440.0;101294548.0;0.0;0.002689838409423828;0.3957657814025879;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;347.0;111740966.0;0.0;0.0026781558990478516;0.8603792190551758;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;294.0;97522047.0;0.0;0.0027289390563964844;0.30306100845336914;
